Coordination,r1_c36,r2_c36,r3_c36
Tetrahedral,0.511,53.296,0.888
Tetrahedral,1.06,50.791,0.813
Tetrahedral,0.794,50.827,1.032
Tetrahedral,1.078,50.677,0.502
Tetrahedral,0.501,36.422,0.997
Tetrahedral,0.537,44.026,0.782
Tetrahedral,1.43,50.568,0.96
Tetrahedral,0.607,49.672,0.694
Tetrahedral,0.401,56.892,0.63
Tetrahedral,0.854,56.133,0.863
Tetrahedral,0.783,51.835,0.55
Tetrahedral,0.731,54.59,1.06
Tetrahedral,1.048,45.13,0.926
Tetrahedral,0.583,51.091,1.042
Tetrahedral,0.714,52.069,0.788
Tetrahedral,0.86,51.786,0.661
Tetrahedral,1.236,47.531,0.299
Tetrahedral,0.743,44.186,0.266
Tetrahedral,0.796,45.295,0.575
Tetrahedral,0.189,31.333,0.712
Tetrahedral,0.903,25.468,1.272
Tetrahedral,0.76,25.45,0.674
Tetrahedral,0.869,25.993,1.278
Tetrahedral,1.125,28.601,0.541
Tetrahedral,0.699,32.871,0.745
Tetrahedral,0.532,25.566,0.531
Tetrahedral,0.737,29.83,0.594
Tetrahedral,0.78,43.028,0.539
Tetrahedral,1.192,39.291,0.539
Tetrahedral,0.474,52.263,0.587
Tetrahedral,1.225,45.559,0.487
Tetrahedral,0.879,39.656,0.603
Tetrahedral,0.534,42.067,0.499
Tetrahedral,0.592,49.454,0.632
Tetrahedral,1.188,54.493,0.705
Tetrahedral,1.264,47.479,0.752
Tetrahedral,0.94,47.831,0.786
Tetrahedral,1.175,46.323,0.492
Tetrahedral,0.403,45.049,0.958
Tetrahedral,0.683,48.387,0.842
Tetrahedral,0.709,46.916,0.657
Tetrahedral,1.145,57.232,0.842
Tetrahedral,0.633,50.404,0.582
Tetrahedral,0.665,52.15,0.774
Tetrahedral,0.738,52.506,0.956
Tetrahedral,0.959,60.21,1.426
Tetrahedral,1.133,61.094,0.633
Tetrahedral,0.823,61.374,0.722
Tetrahedral,0.468,59.031,0.549
Tetrahedral,0.373,56.253,1.404
Tetrahedral,0.775,58.127,0.769
Tetrahedral,1.038,76.25,0.828
Tetrahedral,0.731,78.669,0.784
Tetrahedral,0.913,63.185,0.86
Tetrahedral,1.1,62.567,0.602
Tetrahedral,0.98,59.996,0.69
Tetrahedral,0.766,72.331,0.818
Tetrahedral,0.792,58.693,0.481
Tetrahedral,0.644,47.378,0.704
Tetrahedral,0.781,67.718,0.918
Tetrahedral,0.604,57.3,0.857
Tetrahedral,0.898,69.82,0.473
Tetrahedral,0.74,64.054,0.737
Tetrahedral,1.123,58.762,0.718
Tetrahedral,0.832,57.961,0.968
Tetrahedral,0.587,54.049,0.815
Tetrahedral,0.952,50.954,0.713
Tetrahedral,0.972,51.851,0.805
Tetrahedral,0.585,50.652,0.901
Tetrahedral,0.579,54.428,0.824
Tetrahedral,1.319,54.598,1.122
Tetrahedral,1.01,58.963,0.687
Tetrahedral,0.779,58.067,0.811
Tetrahedral,1.057,58.949,1.293
